Unhashed Ubermedia Id	Common Evening Lat	Common Evening Long	Common Evening Country	Common Evening Census	Common Evening Micro	Common Evening Municipality	Common Evening Admin	Common Evening Province	Common Evening Postal1	Common Evening Postal2	Common Evening Custom1	Common Evening Custom2
000223db-2228-4005-8a50-3d52b30e1672	25.163478	55.415436	ARE					Dubai Sector VI				
0002eac9-2663-46ce-b118-fff3d5262495	21.541868	39.781308	SAU				Makkah Al Mokarramah					
00050ba4-910a-47d7-9850-4eb6025e510d	50.476487	2.672279	FRA		626170104	Noeux les Mines				62290		
00061181-ffbd-4938-bf93-b3831bb17758	25.423571	55.572482	ARE					Ajman				
000b9fcc-3ddf-484d-a68e-49cf9c3243e0	25.318039	55.432736	ARE					Sharjah				
00163915-9327-4712-84e6-7eea35b3ef24	26.458735	50.029922	SAU				Al Qatif					
0017d0cd-f58c-4f3a-95be-4508331c9910	26.255147	50.070699	SAU				Al Khubar					
00183bd1-611b-40aa-82fc-936da77e3620	8.150081	77.592534	IND				Radhapuram					
001d032e-4ce5-477b-aede-d05cc7fb68ed	26.293120	44.831488	SAU				Az Zulfi					
001ff3a6-2631-46cb-82d4-dbaa4ad40e12	25.322760	51.454082	QAT				Al Gharrafa Gharrafat Al Rayyan Izghawa Bani Hajer etc					
0020cefc-363e-4c39-b02d-9113129f085f	34.260543	-118.527812	USA	060371113041	San Fernando Valley CCD	Los Angeles, CA	Los Angeles County	CA	91326			
00214c58-bbea-4f3f-b449-0b91e524632d	25.206221	55.273049	ARE					Dubai Sector III				
0024bc15-dd26-44d7-a6f8-94d20b1bd52d	46.643669	5.526033	FRA		391690000	Courbouzon				39570		
002639e5-3346-4b14-a044-646398de6188	25.373222	51.546795	QAT				Onaiza Leqtaifiya Al Qassar					
002a22c5-1e7f-4582-a68b-92e095804459	25.835846	-80.301340	USA	120860047015	Miami CCD	Miami-Fort Lauderdale, FL	Miami-Dade County	FL	33166			
00325f51-a9f4-45f8-a0eb-c82040eafd20	13.038946	77.609133	IND				Bangalore North					
00352d3e-ec4b-4dbc-87d0-709380d4210e	25.015748	55.080854	ARE					Dubai Sector V				
0035a807-4c98-4a74-8a89-ddaef2af16f5	40.646151	-73.955936	USA	360470792011	Brooklyn borough	New York, NY	Kings County	NY	11226			
00366f61-01a6-44ea-9d50-6b697d6e4301	41.339581	1.701475	ESP	0830504008		Vilafranca del Penedes				08720		
003993be-d4ac-4e0c-9aba-ef12f76b3a52	25.302556	55.446726	ARE					Sharjah				
0039e619-6343-4045-87dc-d11b6af45bf7	24.493005	54.409650	ARE					Abu Dhabi				
003cc620-57d8-407f-8a9f-ff6df53df270	25.086463	56.300303	ARE					Fujairah				
0040cf4a-22ef-45f7-a81e-a844ba0f1722	10.950245	76.395482	IND				Ottappalam					
004151be-677b-42cb-a02e-c036c4363f91	25.241650	55.300724	ARE					Dubai Sector III				
0046d196-cfe9-4785-b2d2-6a4c483ef2b0	51.501472	0.029186	GBR		E01033577		Newham			E16 2		
004820fa-7d7d-469b-9d15-a4f06161acc9	28.558432	77.170082	IND				Vasant Vihar					
00483258-41df-4cee-ab80-8e4b4c492d0c	51.658043	-0.873207	GBR		E01017916		Wycombe			HP14 3		
004919b0-52c0-4df7-8570-0cbd08995607	9.381382	78.952739	IND				Ramanathapuram					
0049d561-9c99-44b3-a480-48d6c4596acf	24.529920	46.664317	SAU				Al Riyad					
004c8f69-fffa-4b0e-b617-afc4e2a43751	28.711668	77.154852	IND				Saraswati Vihar					
004ddde1-7b1d-409d-8685-d724c4e16cce	52.717228	7.037075	NLD		01140900	Emmen				7894		
004e8987-7a13-4775-8ab7-bbf924a6075b	29.092849	48.132784	KWT			Al Mangaf		Al Ahmadi Governorate				
00533479-27dc-42fa-b0fb-5e1660b2bd4f	52.011832	5.169864	NLD		03211235	Houten				3991		
0053699e-be13-4e0e-ae0a-d8a3512dbf48	24.245291	55.781268	OMN				Al Buraymi					
00569e05-7e4a-4158-be88-aacc60482e6d	24.725805	46.786349	SAU				Al Riyad					
0059202c-7606-47af-864d-2b0dfc7b5556	34.095383	-118.283972	USA	060371913021	Los Angeles CCD	Los Angeles, CA	Los Angeles County	CA	90029			
00603d0e-5ad3-4851-a1cb-3dbce1b37827	25.220333	51.463741	QAT				Fereej Al Asiri Bu Hamour Mesaimeer etc					
0062d3bc-569e-44d4-a2c8-501270d9bf4e	12.940067	80.153829	IND				Tambaram					
0063785f-d80c-4625-9955-875098cbf424	24.686955	46.722430	SAU				Al Riyad					
0063949f-0d8e-49a4-96fd-ed20d27ec89d	25.263377	55.293904	ARE					Dubai Sector III				
00640951-8b89-4bf2-950f-4c02ab5a9091	24.596938	46.134643	SAU				Duruma					
006440f2-3004-446f-b330-d62f82f5c825	27.316938	43.268853	SAU				Ash Shinan					
00681e37-e4cf-4e85-bf62-0f9ba222105c	24.481267	54.363727	ARE					Abu Dhabi				
