segment_id,card_id,segment_name,tenant,country,status,is_deleted,creator,creation_date
87790,08203ef0d2bd0f3d5caa13c3c885f8b8,NC > L > Near > Geographic > Postcode > 2112,newscorp-postcode,AUS,Active,No,sandesh@near.com,2024-03-15 12:53:39
87789,82014918cdb97ff3c6f53cb3b6bb05c2,NC > L > Near > Geographic > Postcode > 2678,newscorp-postcode,AUS,Active,No,sandesh@near.com,2024-03-15 12:49:29
87788,5421b58d7df1b8725943ec8f5b9c0086,NC > L > Near > Geographic > Postcode > 2536,newscorp-postcode,AUS,Active,No,sandesh@near.com,2024-03-15 12:48:01
87787,e5dcd4d40db7e6f6d76b576f39cc3c91,NC > L > Near > Geographic > Postcode > 2382,newscorp-postcode,AUS,Active,No,sandesh@near.com,2024-03-15 12:46:34
87786,b02199e757d29d381255036b60c20fc6,NC > L > Near > Geographic > Postcode > 2780,newscorp-postcode,AUS,Active,No,sandesh@near.com,2024-03-15 12:45:52
87785,b0d6244cb4a80af911d2593c8b3d78bc,NC > L > Near > Geographic > Postcode > 2381,newscorp-postcode,AUS,Active,No,sandesh@near.com,2024-03-15 12:44:21
87784,809ac4124f928530d3ab8f5941412471,NC > L > Near > Geographic > Postcode > 3966,newscorp-postcode,AUS,Active,No,sandesh@near.com,2024-03-15 12:43:39
87783,db70e41f133ccf90a09e6418fcccb28b,NC > L > Near > Geographic > Postcode > 5112,newscorp-postcode,AUS,Active,No,sandesh@near.com,2024-03-15 12:42:52
87782,8db19f15bed60d628c63efcf832a05f0,NC > L > Near > Geographic > Postcode > 4520,newscorp-postcode,AUS,Active,No,sandesh@near.com,2024-03-15 12:42:22
87781,be6ba5539d3183d71bfdc83d74ff713b,NC > L > Near > Geographic > Postcode > 3796,newscorp-postcode,AUS,Active,No,sandesh@near.com,2024-03-15 12:41:18
87780,6e56db49626342ac88df8e930f760e72,Do not use 6,newscorp-postcode,AUS,Active,No,sandesh@near.com,2024-03-15 12:39:24
87779,7da59ecbf20348a4e74a2a23cc73a060,NC > L > Near > Geographic > Postcode > 3040,newscorp-postcode,AUS,Active,No,sandesh@near.com,2024-03-15 12:37:41
87778,d24af16fe1828c272b7cf37ec2239260,NC > L > Near > Geographic > Postcode > 5131,newscorp-postcode,AUS,Active,No,sandesh@near.com,2024-03-15 12:35:42
87777,52d2bd304abb95203cba6c205069e9b5,NC > L > Near > Geographic > Postcode > 5259,newscorp-postcode,AUS,Active,No,sandesh@near.com,2024-03-15 12:34:53
87776,9a6801b0ca176fecbebe661a9109f418,NC > L > Near > Geographic > Postcode > 7322,newscorp-postcode,AUS,Active,No,sandesh@near.com,2024-03-15 12:34:14
87775,fa98b570c2f0f9b440727810b3ba7915,NC > L > Near > Geographic > Postcode > 4069,newscorp-postcode,AUS,Active,No,sandesh@near.com,2024-03-15 12:33:36
87774,c8bd260b73cdac2ba706b23a83e86910,NC > L > Near > Geographic > Postcode > 4695,newscorp-postcode,AUS,Active,No,sandesh@near.com,2024-03-15 12:32:52
87773,db029d9bb6aa675af0ca8882cca198c5,NC > L > Near > Geographic > Postcode > 5641,newscorp-postcode,AUS,Active,No,sandesh@near.com,2024-03-15 12:32:12
87772,5ac3eb6334b8c079fb5bbe7b2060ba6e,NC > L > Near > Geographic > Postcode > 4501,newscorp-postcode,AUS,Active,No,sandesh@near.com,2024-03-15 12:31:21
